Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 0.00066, -0.00141, -1.47595, -0.22638,  0.44505, -0.18882
-0.00033,  0.00070,  0.73798, -0.14687,  0.74478, -0.06276
-0.00033,  0.00070,  0.73798,  0.00174,  0.81921, -0.06276
 0.00000,  0.00000,  0.00000,  0.00000,  0.29762, -0.03143
-0.00066,  0.00141,  1.47595, -0.07083,  0.29903, -0.09409
-0.00017,  0.00035,  0.36899, -0.07344,  0.89325, -0.09425
 0.00017, -0.00035, -0.36899, -0.44670,  0.89255, -0.03149
 0.00017, -0.00035, -0.36899, -0.44670,  0.29729, -0.00005
 0.01173,  0.00261,  2.58362, -0.14577,  0.60101, -0.12325
-0.00050,  0.00106,  1.10699, -0.22031,  0.74512, -0.09415
-0.00083,  0.00176,  1.84491, -0.21857,  1.04346,  0.06313
 0.00033, -0.00070, -0.73798, -0.37325,  0.29694,  0.03133
 0.00066, -0.00141, -1.47595, -0.22638,  0.22184,  0.06266
-0.00033,  0.00070,  0.73798, -0.14687,  0.67041,  0.03154
-0.00017,  0.00035,  0.36899,  0.00087,  0.81885,  0.12579
 0.00066, -0.00141, -1.47595, -0.22638,  0.89148, -0.03164
-0.00017,  0.00035,  0.36899, -0.14774,  0.44681, -0.06282
 0.00000,  0.00000,  0.00000, -0.07430,  0.37201,  0.03143
 0.00017, -0.00035, -0.36899, -0.22378,  0.37167, -0.06292
-0.00050,  0.00106,  1.10699, -0.14600,  0.59631, -0.15702
-0.00066,  0.00141,  1.47595,  0.00347,  0.29903, -0.09409
-0.00050,  0.00106,  1.10699, -0.14600,  0.52188,  0.09446
-0.00050,  0.00106,  1.10699, -0.07170,  0.59631,  0.00016
-0.00017,  0.00035,  0.36899,  0.00087,  0.22357,  0.03149
 0.00017, -0.00035, -0.36899, -0.14947,  0.66931,  0.03138
 0.00000,  0.00000,  0.00000, -0.07430,  0.59525, -0.06287
-0.00050,  0.00106,  1.10699, -0.22031,  0.14985, -0.09415
 0.00017, -0.00035, -0.36899, -0.00087,  0.44609, -0.03149
-0.00017,  0.00035,  0.36899, -0.22205,  0.22357,  0.00005
-0.00033,  0.00070,  0.73798, -0.51837,  0.67041, -0.09420
 0.00050, -0.00106, -1.10699, -0.29982,  0.59424, -0.06303
 0.00083, -0.00176, -1.84491, -0.00434,  0.66794,  0.03117
 0.01251,  0.00556,  3.69250, -0.29140,  0.67377,  0.03642
 0.00000,  0.00000,  0.00000, -0.14860,  0.89282,  0.15717
 0.00000,  0.00000,  0.00000,  0.07430,  0.52084, -0.09430
 0.00000,  0.00000,  0.00000,  0.00000,  0.74402, -0.03143
-0.00017,  0.00035,  0.36899, -0.07344,  0.59561,  0.06292
 0.00066, -0.00141, -1.47595, -0.59787,  0.44505,  0.06266
 0.00050, -0.00106, -1.10699, -0.22551,  0.96628, -0.12589
 0.00000,  0.00000,  0.00000, -0.37149,  0.37201, -0.06287
 0.00033, -0.00070, -0.73798, -0.15034,  0.66898, -0.06297
-0.00083,  0.00176,  1.84491, -0.21857,  0.74582,  0.09456
