Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-0.05142,  0.00273,  8.42773,  0.48363, -2.22839,  0.59335
-0.05294,  0.00682,  8.79199,  0.04527, -2.45203,  0.65115
-0.05218,  0.00912,  9.16650, -0.17316, -2.37634,  0.68622
-0.05046,  0.00266,  6.95020,  0.19030, -2.53149,  0.46625
-0.04877,  0.00621,  8.80225,  0.11880, -2.22827,  0.58908
-0.05814,  0.00401,  8.04736,  0.12449, -2.75391,  0.74213
-0.05337,  0.00663,  8.41992,  0.04784, -2.37878,  0.74432
-0.04465,  0.00613,  6.95508, -0.03372, -2.00732,  0.65350
-0.05680,  0.00629,  9.52734,  0.19576, -2.60156,  0.74521
-0.04825,  0.00679,  9.17383,  0.12081, -2.15186,  0.68112
-0.05334,  0.00647,  9.16309,  0.12057, -2.45190,  0.65149
-0.04608, -0.00108,  6.21777,  0.47813, -2.23193,  0.68661
-0.05946,  0.00964, 11.74658,  0.05434, -2.59460,  0.49541
-0.04342,  0.00281,  6.21973,  0.18581, -2.00952,  0.68253
-0.05570,  0.00563,  9.53076,  0.26927, -2.52734,  0.74551
-0.04772,  0.00313,  6.58350,  0.11510, -2.30737,  0.67990
-0.04571,  0.00560,  8.80713,  0.26163, -2.00403,  0.74399
-0.05284,  0.00753,  8.79297, -0.02808, -2.45203,  0.55991
-0.04962,  0.00677,  7.68652, -0.02956, -2.23047,  0.74661
-0.04498,  0.00946,  8.43799, -0.25107, -2.00281,  0.56317
-0.04921,  0.00484,  7.31787,  0.11473, -2.23157,  0.77539
-0.05132,  0.00595,  8.42529,  0.12119, -2.37878,  0.65189
-0.05050,  0.00570,  8.79883,  0.19215, -2.30371,  0.68271
-0.04941,  0.00558, 10.27832,  0.49002, -2.07275,  0.65213
-0.05325,  0.00570,  8.79248,  0.19193, -2.45325,  0.62167
-0.04998,  0.00615,  7.68481,  0.04366, -2.23047,  0.55893
-0.05441,  0.00424,  9.16260,  0.41412, -2.45056,  0.62326
-0.04948,  0.00519,  8.80127,  0.26573, -2.22949,  0.59027
-0.04898,  0.00293,  8.43262,  0.48434, -2.07922,  0.46857
-0.05431,  0.00986, 11.38672,  0.05264, -2.29565,  0.64880
-0.05681,  0.00814,  8.78418, -0.09654, -2.67688,  0.65533
-0.04859,  0.00859,  8.43164, -0.17694, -2.22791,  0.56210
-0.04849,  0.00654,  8.43066,  0.04341, -2.15381,  0.61966
-0.05372,  0.00767,  9.90381,  0.05099, -2.44958,  0.71204
-0.04886,  0.00728,  9.54248,  0.11780, -2.15100,  0.74265
-0.04596,  0.00732,  8.43701, -0.03010, -2.00378,  0.71368
-0.04104,  0.00806,  9.18604,  0.04246, -1.70166,  0.52460
-0.05191,  0.00595,  8.42432,  0.12117, -2.30420,  0.71387
-0.04622,  0.00703,  8.80713,  0.04533, -2.07703,  0.68048
-0.04742,  0.00790,  8.43408, -0.10352, -2.07886,  0.62271
-0.05292,  0.00488,  9.16602,  0.34096, -2.37537,  0.59122
-0.05019,  0.00621,  8.79883,  0.11873, -2.30298,  0.71292
-0.05441,  0.00974,  9.90332, -0.16959, -2.44946,  0.49919
-0.04439,  0.00420,  8.43896,  0.40710, -1.92780,  0.62152
-0.04984,  0.00997,  9.17090, -0.24709, -2.22595,  0.59399
-0.05493,  0.00459,  8.41846,  0.26741, -2.45105,  0.65442
-0.04754,  0.00794,  9.54590,  0.04415, -2.07520,  0.49489
-0.04909,  0.00846,  6.94629, -0.24845, -2.30505,  0.53281
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
