frame_id,player,x,y,speed
2,1,67.03518075373677,14.039894860905632,0.27465914655231816
3,1,67.05642753967562,14.033387531124037,0.22220964281912564
5,1,67.07177843344931,14.045569407637869,0.1959714405338812
6,1,67.10484396810253,14.077650933327654,0.4607118266864334
7,1,67.14853289509055,14.106478793610837,0.5234279195717151
8,1,67.2075727178445,14.147488528553088,0.7188531860436469
9,1,67.3976523631221,14.199014568830693,1.9693959575349484
10,1,67.6125109379695,14.217626294698269,2.1566317146240936
11,1,67.81204558232626,14.30002340530443,2.158781094386889
12,1,68.06591951669496,14.483961955704403,3.135049678634869
13,1,68.2607536302227,14.626890768680632,2.4163811241799418
14,1,68.50280882050662,14.77224044236883,2.823424211567414
15,1,68.83930615799758,14.922431841353031,3.6849411727643924
16,1,69.10377652637054,15.027149408233054,2.8444743725440444
17,1,69.39424815862337,15.2167624139445,3.4688162401394624
18,1,69.7059935570808,15.47583531176699,4.0534424856598825
19,1,70.01654360017304,15.69306567474312,3.7898596262042576
20,1,70.28696383371161,15.931028459908408,3.6021297843175626
21,1,70.60107301277107,16.197819049189473,4.121186660397028
22,1,70.92933772807358,16.434948969149726,4.049547162992348
23,1,71.25640707747937,16.630236362375495,3.809350670043944
24,1,71.55399700664684,16.91896974587392,4.1464048606998025
25,1,71.86574247095076,17.178042462149783,4.053441831735394
26,1,72.1314622509026,17.476536810345685,3.996321775865267
27,1,72.37946739193066,17.75513151360729,3.729900248823937
28,1,72.65817434297888,18.058089907637893,4.116568389765901
29,1,72.97464736157525,18.33259805085313,4.189390077218572
30,1,73.23091217267739,18.60022125055828,3.705318210756537
31,1,73.49073613898598,18.917404684297303,4.100168583202432
32,1,73.78362567906149,19.26666955962237,4.55818204793836
33,1,73.99622860504577,19.58143212614747,3.798361191652893
34,1,74.23716959555384,19.912840608085737,4.097366749604375
35,1,74.52179955882055,20.27307684489145,4.591125812882383
36,1,74.81349377356625,20.580499126714017,4.237852926625781
37,1,75.02139629096573,20.955793302304283,4.290328367071879
38,1,75.27415614351638,21.325790501864788,4.480909179441645
39,1,75.46317568677301,21.715309759288186,4.329591662462202
40,1,75.67461038002862,22.06419691493908,4.079545034562889
41,1,75.91201938926106,22.42201220891023,4.294121822496249
42,1,76.19428573158707,22.77453051057335,4.516009754391105
43,1,76.43286312497352,23.09822103546101,4.021128306049453
44,1,76.6325061620664,23.484486516434973,4.348084222410124
45,1,76.85222765612464,23.898369332930592,4.6858992812642555
46,1,77.07901337963014,24.259438203571463,4.263830364024667
47,1,77.34122847179258,24.660306233833616,4.790114113922681
48,1,77.62585869815022,25.020542143819387,4.591124879587609
49,1,77.88215087966951,25.364132126812446,4.286487591502918
50,1,78.14436604003508,25.765000077953296,4.79011382513406
51,1,78.41247708403031,26.14717879815048,4.668448415520646
52,1,78.63689916738196,26.500529774253323,4.185954894748891
53,1,78.90501025390535,26.882708445207687,4.668448256639424
54,1,79.18847227909866,27.27706891134157,4.8566541669757495
55,1,79.46008837560035,27.556873377400485,3.8995620665060544
56,1,79.66087287387555,27.833046704178606,3.41447098642407
57,1,79.92069728902905,28.1502295375584,4.100166783201544
58,1,80.1344689649269,28.430866892662145,3.5278272987180026
59,1,80.32577129497005,28.60020196699885,2.554817975523076
60,1,80.51000946485036,28.822350948107136,2.8860677928332374
61,1,80.76152002926088,28.998570794852533,3.0710095798787607
62,1,80.91032883598166,29.18092061268812,2.353625225526228
63,1,81.03905919043495,29.33565310174929,2.0128002217988925
64,1,81.15366123161294,29.596013414832605,2.844663784544719
65,1,81.282418745891,29.826713069212552,2.6419846330758476
66,1,81.40286234999263,29.916449811745583,1.501976854995827
67,1,81.62948549185046,29.82171524158996,2.4562713043978706
68,1,81.82779770983016,29.78630197754535,2.014493362369887
69,1,82.0225507000355,29.70132849715666,2.1248345715204437
70,1,82.25273306944243,29.656154144582047,2.3457332609724624
71,1,82.50299389732842,29.638597103079327,2.508759288582943
72,1,82.8441104949759,29.500354129403696,3.6806474017659916
73,1,83.14036979011377,29.36740819013804,3.247217158165075
74,1,83.54764475277041,29.36929510600335,4.072793336991862
75,1,83.93130917820093,29.36997164824856,3.836650219271282
76,1,84.30198644877859,29.36618412573568,3.70696620229654
77,1,84.73640401950186,29.34287441284948,4.350424904166762
78,1,85.16845782272269,29.311846935676137,4.331664728684822
79,1,85.59225200686946,29.291790892269475,4.242684944628315
80,1,86.05503479106903,29.3610941206354,4.679432046877594
81,1,86.55321980315205,29.394229287882617,4.992857353987324
82,1,86.99122373683034,29.496446798090982,4.497731264880684
83,1,87.45164274713983,29.558032199531333,4.6451956549207125
84,1,87.959282826453,29.62203827436654,5.116592887272725
85,1,88.42912975759617,29.638527498510435,4.701361858201506
86,1,88.89547176043301,29.757390737542927,4.81251839688089
87,1,89.36770960860248,29.85756475628437,4.8274570870650155
88,1,89.79155808044828,29.989442730948724,4.438911209830552
1,2,76.96932964711709,11.267461951511397,0.8071623392095789
2,2,76.94457763839713,11.376343389757904,1.1165943547368014
3,2,76.94343616356987,11.486435257268695,1.1009778497678697
4,2,76.96946431195262,11.647297773512832,1.629546367570733
5,2,77.02855798506734,11.840241752573874,2.017905876350447
6,2,77.08292416905344,12.017750212275658,1.8564734101761529
7,2,77.08180964618705,12.203809245739947,1.8606237151795424
8,2,77.05705765193895,12.312690690404333,1.1165943852385223
9,2,77.05830688672408,12.50646748576306,1.9378082208269918
10,2,77.00407541583482,12.708794861997884,2.0946937630326947
11,2,77.10332589200685,12.95697357666628,2.6728885392928827
12,2,77.1565776165552,13.320541074729729,3.6744669248135597
