Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 3.97754,  0.15166, 599.37500, -0.22252, 207.47656, -23.29297
 3.96582,  0.15835, 598.62500, -0.36984, 207.01563, -23.54590
 3.95679,  0.15855, 599.37500, -0.07606, 206.70313, -23.17285
 3.87756,  0.20520, 615.31250, -0.15231, 203.25781, -23.79102
 3.68018,  0.27420, 627.56250, -0.17902, 194.21094, -21.57129
 3.19177,  0.40471, 664.21875,  0.10114, 171.50781, -13.49561
 2.03821,  0.58487, 771.18750,  0.81586, 122.19141, -9.75000
 0.88785,  0.67261, 780.46875,  0.66312, 71.87500, -3.69885
 0.09855,  0.67346, 714.46875,  0.77222, 32.08789,  1.35406
-0.50699,  0.65182, 699.84375,  1.59723, -0.13042,  8.19678
-1.03534,  0.62436, 686.87500,  1.56262, -23.56738, 12.40137
-1.43109,  0.58160, 664.81250,  1.68860, -44.06055, 15.51953
-1.74939,  0.55359, 640.87500,  1.72797, -64.35547, 18.07031
-2.07764,  0.52835, 619.37500,  2.12915, -80.51563, 18.58105
-2.33081,  0.49359, 594.25000,  1.88379, -93.98047, 19.90625
-2.48792,  0.47067, 582.53125,  2.43738, -103.01953, 20.23242
-2.59705,  0.45079, 582.78125,  2.58765, -108.73047, 20.96484
-2.63879,  0.45334, 586.06250,  2.60229, -111.05469, 20.75684
-2.61511,  0.45392, 586.81250,  2.67957, -109.92969, 19.73926
-2.60400,  0.45636, 581.34375,  2.35901, -109.33203, 18.21973
-2.56433,  0.44508, 575.40625,  2.55505, -107.54688, 16.92773
-2.53650,  0.44568, 567.71875,  2.15063, -106.21094, 15.64844
-2.53650,  0.44684, 569.18750,  2.37891, -106.21094, 14.72754
-2.54785,  0.44885, 571.78125,  2.24255, -106.80078, 14.17969
-2.54138,  0.44771, 570.28125,  2.16199, -106.66016, 14.17969
-2.52173,  0.44539, 567.37500,  2.14917, -105.53906, 14.11670
-2.38684,  0.50397, 606.78125,  1.85883, -96.58203, 14.02441
-2.01025,  0.58795, 689.68750,  2.41980, -75.66016, 15.58643
-1.54755,  0.65707, 751.12500,  1.97546, -45.87305, 13.66602
-1.30310,  0.63928, 712.21875,  1.71173, -34.16602,  8.00977
-1.07080,  0.59659, 664.71875,  1.53845, -25.26660,  2.34521
-0.87030,  0.57776, 635.71875,  1.45453, -17.86133, -0.43246
-0.69968,  0.56403, 620.65625,  1.27197, -11.40723, -1.43384
-0.60016,  0.56525, 606.68750,  0.71649, -7.62646, -0.76462
-0.52112,  0.57043, 612.28125,  1.25079, -4.12524,  0.06389
-0.42914,  0.57935, 621.96875,  1.27399, -0.09814, -0.08590
-0.38423,  0.58725, 630.46875,  1.14563,  2.81201, -1.02197
-0.32086,  0.59067, 634.18750,  1.15460,  6.31421, -2.38098
-0.26512,  0.59653, 640.50000,  1.02100,  9.52197, -2.96204
-0.20751,  0.60028, 644.56250,  1.47729, 12.87842, -3.10791
-0.15466,  0.59653, 640.56250,  1.24445, 15.77979, -3.47644
-0.10926,  0.59000, 633.56250,  1.00214, 17.78516, -4.14038
-0.08659,  0.58450, 627.65625,  1.06506, 18.89844, -4.96924
-0.08588,  0.57968, 622.50000,  0.90634, 18.66895, -4.74097
-0.05024,  0.58142, 624.34375,  0.76120, 20.68262, -4.85132
-0.00725,  0.58691, 630.28125,  1.14459, 23.22461, -4.74072
 0.02202,  0.59445, 638.43750,  1.08600, 25.09766, -4.88818
 0.03693,  0.59824, 642.50000,  0.79633, 26.44238, -4.49756
 0.04444,  0.59995, 644.37500,  1.09747, 26.89160, -4.00439
 0.07360,  0.59619, 640.31250,  1.16394, 28.00879, -3.51343
 0.10269,  0.60144, 638.12500,  0.63870, 29.57031, -3.52087
 0.16071,  0.59900, 635.53125,  0.78253, 32.47852, -5.04834
 0.26253,  0.59067, 634.50000,  0.78101, 37.10547, -6.27466
 0.40909,  0.58441, 635.65625,  0.85806, 43.60547, -7.40479
 0.55035,  0.56482, 630.18750,  0.46608, 49.87500, -9.06445
 0.73898,  0.54715, 618.40625,  0.52386, 57.57227, -12.13379
 0.93396,  0.51129, 593.31250,  0.63696, 65.21094, -15.00293
 1.14191,  0.46594, 571.12500, -0.00458, 73.09766, -16.68359
 1.36255,  0.41635, 548.90625,  0.12024, 81.46875, -18.91113
 1.49664,  0.41158, 542.62500,  0.55786, 87.61328, -20.77148
 1.57166,  0.42166, 555.93750,  0.57336, 91.65625, -22.71484
 1.57733,  0.44489, 586.53125,  0.46078, 93.02344, -25.22168
 1.44354,  0.48120, 624.96875,  0.50497, 88.66406, -27.35840
 1.10181,  0.56641, 675.25000,  0.71765, 76.37891, -28.34375
 0.55905,  0.64127, 715.40625,  1.14813, 53.96289, -27.13477
-0.19975,  0.68250, 723.93750,  1.20795, 16.80371, -16.71875
-1.43414,  0.64578, 728.71875,  1.76062, -40.76367, -1.86597
-3.02075,  0.69711, 805.96875,  2.94006, -122.16406, 10.72266
-3.18542,  0.58453, 734.00000,  2.94397, -134.43750, 24.07910
-3.13733,  0.56668, 711.46875,  2.69666, -132.91406, 25.28906
-2.99487,  0.52762, 672.09375,  2.74548, -126.60547, 27.46875
-2.86719,  0.49768, 643.43750,  2.70911, -121.07422, 28.05371
-2.74939,  0.48434, 616.93750,  2.36914, -115.72266, 27.29590
-2.60645,  0.46155, 587.96875,  2.53625, -109.25391, 26.37207
-2.49878,  0.44020, 560.75000,  1.97180, -104.87500, 25.74707
-2.39111,  0.42232, 537.96875,  2.01843, -99.96094, 25.00879
-2.30286,  0.40674, 518.12500,  1.93054, -96.17578, 24.00488
-2.25452,  0.39925, 508.56250,  1.88806, -94.01953, 23.78711
-2.25220,  0.39780, 506.71875,  1.87988, -94.02734, 24.49414
-2.28760,  0.40616, 517.37500,  2.29688, -95.42578, 25.67676
-2.35059,  0.41626, 530.25000,  2.05823, -97.87500, 27.08398
-2.39514,  0.42636, 543.12500,  2.11536, -99.73047, 28.45508
-2.42603,  0.43298, 551.59375,  2.07898, -101.35938, 30.53516
-2.44067,  0.44316, 556.37500,  2.09985, -101.72266, 31.69238
-2.39246,  0.43672, 548.31250,  1.84216, -99.63672, 32.03125
-2.26416,  0.40732, 518.90625,  2.22961, -93.91406, 30.52539
-2.03760,  0.36998, 464.50000,  1.76605, -84.12891, 26.68652
-1.75659,  0.32649, 398.34375,  1.47198, -72.26172, 22.58691
-1.46655,  0.28397, 337.00000,  1.27319, -59.78320, 17.58691
-0.94623,  0.19423, 215.71094,  0.70117, -38.31250, 11.42041
-0.35413,  0.07349, 82.69141,  0.31940, -14.19385,  2.65417
-0.07364,  0.02281, 20.60547, -0.29073, -2.73096, -1.57477
-0.01497,  0.00760,  5.15356, -0.27858, -0.51569, -0.31160
-0.00300,  0.00753,  4.42676, -0.28606,  0.00423,  0.19234
-0.00066,  0.00141,  1.47595,  0.00347,  0.29903,  0.06308
-0.00083,  0.00176,  1.84491, -0.14426,  0.00172,  0.00026
-0.00083,  0.00176,  1.84491,  0.00434, -0.14708,  0.18887
-0.00066,  0.00141,  1.47595,  0.07777,  0.00138, -0.03123
-0.00050,  0.00106,  1.10699, -0.07170,  0.14985,  0.09446
-0.00033,  0.00070,  0.73798, -0.59268,  0.37274, -0.12563
-0.00225,  0.00565,  3.32019, -0.21455,  0.00317,  0.09642
-0.00050,  0.00106,  1.10699, -0.36890,  0.44748, -0.09415
-0.00027,  0.00421,  2.95300, -0.14219,  0.07710, -0.06383
-0.00148,  0.00321,  2.58289, -0.06805,  0.00248,  0.06383
-0.00099,  0.00211,  2.21399, -0.44061,  0.22529, -0.03112
 0.00265,  0.00343,  2.95386, -0.06967,  0.22596, -0.12894
 0.00991,  0.00271,  2.95447, -0.07062,  0.52603, -0.09304
-0.00099,  0.00211,  2.21399, -0.44061,  0.29970,  0.06318
 0.00826,  0.00413,  2.58459, -0.21877,  0.44914,  0.09872
-0.00050,  0.00106,  1.10699, -0.51749,  0.44748,  0.12589
-0.00215,  0.00458,  4.79688,  0.01129,  0.00448, -0.06219
 0.00125,  0.00460,  2.58435, -0.21741,  0.15015,  0.09859
-0.00083,  0.00176,  1.84491, -0.59006,  0.22495, -0.28267
 0.00935,  0.00674,  2.58337, -0.44250,  0.52075,  0.03651
-0.00017,  0.00035,  0.36899,  0.07516,  0.52121,  0.03149
 0.00751,  0.00707,  2.58386, -0.44321,  0.44598, -0.05933
-0.00099,  0.00211,  2.21399, -0.29201,  0.29970, -0.06255
 0.00048, -0.00068,  2.95313,  0.30437,  0.15271, -0.06354
 0.00071,  0.00981,  2.95142, -0.59259,  0.14749, -0.12614
-0.00033,  0.00070,  0.73798, -0.36978,  0.22392,  0.12584
-0.00099,  0.00211,  2.21399, -0.29201,  0.59732, -0.06255
-0.00083,  0.00176,  1.84491, -0.51575,  0.67142, -0.15691
-0.00033,  0.00070,  0.73798, -0.36978,  0.67041,  0.00010
-0.00099,  0.00211,  2.21399, -0.29201, -0.07233,  0.03175
 0.00017, -0.00035, -0.36899, -0.00087,  0.44609, -0.18866
-0.00153,  0.00830,  4.42725, -0.36078,  0.07632,  0.03359
-0.00083,  0.00176,  1.84491, -0.51575,  0.22495,  0.03170
 0.00000,  0.00000,  0.00000, -0.52008,  0.22321, -0.06287
-0.00033,  0.00070,  0.73798, -0.29549,  0.59598,  0.06297
-0.00099,  0.00211,  2.21399, -0.44061,  0.37410, -0.03112
-0.00066,  0.00141,  1.47595, -0.51663,  0.29903, -0.06266
 0.00628,  0.00546,  2.95361, -0.29257,  0.37381, -0.12518
 0.00017, -0.00035, -0.36899, -0.44670,  0.37167,  0.03138
-0.00099,  0.00211,  2.21399,  0.07950, -0.14674,  0.00031
-0.00083,  0.00176,  1.84491,  0.07864,  0.15054,  0.12600
-0.00050,  0.00106,  1.10699, -0.07170,  0.29866,  0.03159
-0.00083,  0.00176,  1.84491, -0.44147,  0.67142,  0.00026
-0.00066,  0.00141,  1.47595, -0.14513,  0.44785,  0.00021
-0.00116,  0.00246,  2.58289,  0.00608,  0.00241,  0.15753
 0.00935,  0.00674,  2.58337, -0.44250,  0.52075,  0.00488
-0.00066,  0.00141,  1.47595, -0.51663,  0.44785, -0.03123
-0.00083,  0.00176,  1.84491, -0.29286,  0.29935, -0.09404
 0.00393,  0.00687,  3.32312, -0.36620,  0.29878,  0.03450
-0.00066,  0.00141,  1.47595, -0.29375,  0.59668, -0.06266
 0.00000,  0.00000,  0.00000,  0.07430,  0.29762, -0.09430
-0.00050,  0.00106,  1.10699, -0.07170,  0.07544, -0.06271
-0.00099,  0.00211,  2.21399, -0.36630,  0.29970,  0.06318
 0.00392,  0.01182,  2.58008, -0.74686,  0.36647,  0.09954
 0.00017, -0.00035, -0.36899, -0.52100,  0.29729, -0.18866
-0.00066,  0.00141,  1.47595, -0.44235,  0.37343,  0.03164
-0.00083,  0.00176,  1.84491, -0.51575,  0.00172, -0.21978
-0.00066,  0.00141,  1.47595, -0.21944,  0.52225,  0.00021
-0.00050,  0.00106,  1.10699,  0.00261,  0.67072, -0.09415
-0.00066,  0.00141,  1.47595, -0.36804,  0.22460,  0.00021
 0.00580,  0.00233,  3.32275,  0.07946,  0.37579,  0.12900
-0.00066,  0.00141,  1.47595, -0.44235,  0.29903,  0.03164
 0.00005,  0.00765,  4.05981, -0.36314,  0.15083, -0.09542
