Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 0.00116, -0.00246, -2.58289, -0.08038,  0.74164, -0.06324
 0.00083, -0.00176, -1.84491, -0.30156,  1.18878, -0.06313
 0.00050, -0.00106, -1.10699, -0.37411,  0.96628, -0.06303
 0.00033, -0.00070, -0.73798, -0.15034,  0.81778, -0.09441
 0.00149, -0.00317, -3.32080,  0.06648,  1.03864, -0.12621
 0.00083, -0.00176, -1.84491, -0.52448,  1.33759, -0.00026
 0.00165, -0.00352, -3.68982,  0.36278,  1.03833, -0.09483
 0.00033, -0.00070, -0.73798,  0.14686,  1.41315, -0.06297
 0.00099, -0.00211, -2.21399,  0.29198,  0.89081,  0.06255
 0.00149, -0.00317, -3.32080,  0.06648,  1.33624, -0.12621
 0.00116, -0.00246, -2.58289, -0.15469,  0.96494, -0.06324
 0.00066, -0.00141, -1.47595, -0.07778,  1.26349, -0.25169
 0.00050, -0.00106, -1.10699,  0.14599,  0.96628,  0.03128
 0.00099, -0.00211, -2.21399,  0.06908,  1.18848, -0.15749
 0.00083, -0.00176, -1.84491, -0.07864,  1.48639, -0.03170
 0.00149, -0.00317, -3.32080, -0.52795,  1.11304, -0.12621
 0.00116, -0.00246, -2.58289,  0.21680,  1.33691, -0.00037
 0.00050, -0.00106, -1.10699, -0.22551,  1.11511, -0.06303
 0.00083, -0.00176, -1.84491, -0.00434,  0.81677, -0.06313
 0.00066, -0.00141, -1.47595,  0.07082,  1.04034, -0.09452
 0.00083, -0.00176, -1.84491, -0.00434,  1.18878, -0.03170
 0.00116, -0.00246, -2.58289,  0.14251,  1.11377, -0.15754
 0.00116, -0.00246, -2.58289,  0.14251,  0.96494, -0.12610
 0.00033, -0.00070, -0.73798,  0.14686,  0.81778,  0.06276
 0.00050, -0.00106, -1.10699, -0.15121,  1.11511, -0.00016
 0.00116, -0.00246, -2.58289,  0.21680,  1.18817, -0.06324
 0.00149, -0.00317, -3.32080,  0.36363,  0.88977,  0.09383
 0.00099, -0.00211, -2.21399,  0.51483,  1.26282,  0.09399
 0.00116, -0.00246, -2.58289, -0.15469,  1.11377, -0.12610
 0.00033, -0.00070, -0.73798, -0.00174,  1.04108, -0.18871
 0.00132, -0.00282, -2.95190, -0.15556,  1.26215, -0.06329
 0.00083, -0.00176, -1.84491,  0.29283,  0.96561,  0.06261
 0.00083, -0.00176, -1.84491, -0.07864,  1.11444, -0.06313
 0.00165, -0.00352, -3.68982,  0.06561,  0.96390, -0.15770
 0.00099, -0.00211, -2.21399,  0.14338,  1.03967, -0.03175
 0.00066, -0.00141, -1.47595,  0.36800,  0.89148, -0.00021
 0.00083, -0.00176, -1.84491,  0.29283,  0.81677,  0.03117
 0.00050, -0.00106, -1.10699, -0.00261,  1.11511,  0.09414
 0.00050, -0.00106, -1.10699, -0.00261,  1.18945, -0.03159
 0.00083, -0.00176, -1.84491, -0.00434,  1.33759, -0.18887
 0.00165, -0.00352, -3.68982, -0.08298,  0.81506, -0.00052
 0.00066, -0.00141, -1.47595,  0.14512,  0.96594,  0.06266
 0.00099, -0.00211, -2.21399,  0.06908,  1.33728, -0.00031
 0.00116, -0.00246, -2.58289,  0.06821,  1.41144, -0.03180
 0.00149, -0.00317, -3.32080,  0.36363,  0.96423, -0.00047
 0.00099, -0.00211, -2.21399, -0.37671,  1.26282, -0.12605
 0.00066, -0.00141, -1.47595,  0.21941,  1.18915, -0.03164
 0.00066, -0.00141, -1.47595,  0.29372,  1.26349, -0.12595
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00083, -0.00176, -1.84491,  0.36711,  0.29591,  0.06261
 0.00017, -0.00035, -0.36899,  0.22202,  0.37167, -0.09436
 0.00099, -0.00211, -2.21399, -0.15382,  0.36996, -0.06318
-0.00017,  0.00035,  0.36899,  0.00087,  0.44681, -0.21999
 0.00033, -0.00070, -0.73798, -0.00174,  0.07372, -0.00010
 0.00033, -0.00070, -0.73798, -0.07604,  0.44574, -0.09441
 0.00083, -0.00176, -1.84491,  0.06995,  0.44472,  0.06261
-0.00066,  0.00141,  1.47595,  0.22636,  0.44785,  0.12595
-0.00033,  0.00070,  0.73798, -0.29549,  0.74478,  0.12584
 0.00017, -0.00035, -0.36899,  0.22202,  0.81815, -0.03149
-0.00033,  0.00070,  0.73798,  0.15032,  0.67041, -0.06276
 0.00066, -0.00141, -1.47595, -0.00347,  0.22184, -0.00021
 0.00099, -0.00211, -2.21399, -0.00521,  0.44438, -0.12605
 0.00017, -0.00035, -0.36899,  0.29631,  0.29729, -0.00005
 0.00033, -0.00070, -0.73798, -0.07604,  0.52017, -0.06297
-0.00099,  0.00211,  2.21399, -0.21770,  0.74615, -0.06255
-0.00083,  0.00176,  1.84491, -0.14426,  0.22495,  0.15742
 0.00033, -0.00070, -0.73798,  0.66690,  0.44574, -0.00010
 0.00050, -0.00106, -1.10699,  0.14599,  0.07338,  0.06271
 0.00017, -0.00035, -0.36899, -0.22378,  0.14847,  0.03138
 0.00083, -0.00176, -1.84491, -0.00434,  0.14709, -0.00026
-0.00017,  0.00035,  0.36899, -0.07344,  0.44681, -0.21999
 0.00033, -0.00070, -0.73798,  0.14686,  0.66898, -0.03154
 0.00125,  0.00151,  2.58289,  0.07988,  0.15234, -0.12923
-0.00066,  0.00141,  1.47595,  0.22636,  0.15019,  0.00021
-0.00033,  0.00070,  0.73798, -0.07257,  0.22392,  0.03154
 0.00000,  0.00000,  0.00000, -0.29720,  0.74402, -0.18861
 0.00017, -0.00035, -0.36899, -0.00087,  0.96698, -0.25153
-0.00017,  0.00035,  0.36899, -0.22205,  0.81885, -0.21999
 0.00000,  0.00000,  0.00000, -0.29720,  0.59525,  0.09430
 0.00099, -0.00211, -2.21399, -0.15382,  1.18848, -0.06318
 0.00017, -0.00035, -0.36899, -0.07517,  0.66931,  0.06282
